CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122070687,120043825,39,240,2231,7/25/2012 5:40,7/25/2012 14:40,BURAPT,BURGLARY--APARTMENT,801 COTTONCREEK CR,1057,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0999137,32.7673245,"801 cottoncreek drive, arlington, tx 76011, usa"
122091256,120044354,263,450,2485,7/27/2012 19:00,7/27/2012 22:30,BURAPT,BURGLARY--APARTMENT,1709 SHERRY ST,C,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0717559,32.7163867,"1709 sherry street, arlington, tx 76010, usa"
122120680,120044863,132,330,2550,7/30/2012 8:00,7/30/2012 15:15,BURAPT,BURGLARY--APARTMENT,2015 WESLEY DR,B,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1407716,32.7404733,"2015 wesley drive, arlington, tx 76012, usa"
122130359,120045038,95,240,1842,7/31/2012 4:30,7/31/2012 11:00,BURAPT,BURGLARY--APARTMENT,1811 OLD MILL DR,2001,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0921162,32.7632342,"1811 old mill drive, arlington, tx 76011, usa"
122170508,120045998,11,210,2552,8/3/2012 22:00,8/4/2012 12:00,BURAPT,BURGLARY--APARTMENT,404 GREEN OAKS CR,2082,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1141358,32.7835006,"404 green oaks court, arlington, tx 76006, usa"
122270463,120048046,416,530,2028,8/14/2012 11:30,8/14/2012 16:30,BURAPT,BURGLARY--APARTMENT,901 REDLEAF DR,3201,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1238098,32.6472576,"901 redleaf drive, arlington, tx 76017, usa"
122270520,120048048,416,530,2028,8/14/2012 11:30,,BURAPT,BURGLARY--APARTMENT,901 REDLEAF DR,3202,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1238098,32.6472576,"901 redleaf drive, arlington, tx 76017, usa"
122290461,120048498,89,230,2046,8/16/2012 12:26,8/16/2012 12:50,BURAPT,BURGLARY--APARTMENT,1516 STONELEIGH CT,1042,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0892138,32.7691244,"1516 stoneleigh court, arlington, tx 76011, usa"
122340647,120049615,273,480,2573,8/21/2012 19:53,,BURAPT,BURGLARY--APARTMENT,2103 MARIPOSA LN,117,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0738766,32.711208,"2103 mariposa lane, arlington, tx 76010, usa"
122350772,120049787,221,340,2448,8/21/2012 23:00,8/22/2012 7:00,BURAPT,BURGLARY--APARTMENT,2127 VALLEYWOOD DR,265,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1716121,32.7127913,"2127 valleywood drive, arlington, tx 76013, usa"
